"","Trait","Trait_Info","Paper_ID","Cohort_ID","Rodent_type","Strain","Shared_Control","F0_Parent_Exposed","Lineage_HFD","Exposure_Type","F2_Diet_at_measurement","Age_Days","Sex","Generation","Mean_Control","SD_Control","SEM_Control","Sample_Size_n_Control","Estimated_or_Exact_sample_control.","Mean_Treatment","SD_Treatment","SEM_Treatment","Sample_Size_n_Treatment","Estimated_or_Exact_sample_treatment..","Source","Group_Label_Paper","yi","vi"
"86","Body_Weight","None","Park2018","Park2018mfmm","Mouse","C57BL/6",2,"Male","m-fm-m","One off","Standard",189,"Male","F2",39.52756,4.454215804,1.5748031,8,"Estimate",38.27,1.78,0.63,8,"Estimate","Fig 2a","F2 male to CD (Control) F2 male to HFD (treatment)",-0.0323318506939549,0.00185769265774943
"87","Body_Weight","None","Park2018","Park2018mfmf","Mouse","C57BL/6",1,"Male","m-fm-f","One off","Standard",35,"Female","F2",16.32643253,1.317492857,0.465804067,8,"Estimate",17.26,1.65,0.58,8,"Estimate","Fig2d","F2 female to CD (Control) F2 female to HFD (treatment)",0.0556062636535266,0.00195634161606673
"88","Body_Weight","None","Park2018","Park2018mfmm","Mouse","C57BL/6",2,"Male","m-fm-m","One off","Standard",35,"Male","F2",20.22251008,2.28227109,0.806904682,8,"Estimate",20.36,3.04,1.08,8,"Estimate","Fig 2a","F2 male to CD (Control) F2 male to HFD (treatment)",0.00677584731778411,0.0043788879399389
"89","Body_Weight","None","Giraudo2010","Giraudo2010F2","Mouse","C57BL/6",1,"Female","f-f-fm","Multigenerational","HFD",21,"Both","F2",13.082353,0.97809931,0.1882353,27,"Estimate",9.95,1.47181588,0.21,50,"Estimate","Figure 4","Chow Gen 2 (Control), HF Gen 2 (Treatment)",-0.273691671646113,0.0006446422252371
"90","Body_Weight","None","Giraudo2010","Giraudo2010F3","Mouse","C57BL/6",2,"Female","f-f-f-fm","Multigenerational","HFD",21,"Both","F3",12.047059,2.074861842,0.4235294,24,"Estimate",11.44,1.717118527,0.24,50,"Estimate","Figure 4","Chow Gen 3 (Control), HF Gen 3 (Treatment)",-0.0517045778059223,0.0016865486402557
"91","Body_Weight","None","Giraudo2010","Giraudo2010F2","Mouse","C57BL/6",1,"Female","f-f-fm","Multigenerational","HFD",77,"Both","F2",23.417085,3.133358373,0.6030151,27,"Estimate",23.32,4.263960664,0.6,50,"Estimate","Figure 4","Chow Gen 2 (Control), HF Gen 2 (Treatment)",-0.00415452267256396,0.00133176850481803
"92","Body_Weight","None","Giraudo2010","Giraudo2010F3","Mouse","C57BL/6",2,"Female","f-f-f-fm","Multigenerational","HFD",77,"Both","F3",22.41206,1.477079057,0.3015075,24,"Estimate",24.62,3.553300671,0.5,50,"Estimate","Figure 4","Chow Gen 3 (Control), HF Gen 3 (Treatment)",0.0939599139196051,0.000597579483940065
"93","Body_Weight","None","Lannes2015","Lannes2015","Mouse","C57BL/6",1,"Female","f-f-m","One off","Standard",90,"Male","F2",25.9,0.402492236,0.18,5,"Exact",24.8,1.72,0.77,5,"Exact","Table 1","SC-F2 (Control) HF-F2 (Treatment)",-0.0433993155345555,0.00101031854714067
"94","Body_Weight","None","Thompson2019","Thompson2019ffm","Mouse","C57BL/6",1,"Female","f-f-m","One off","Standard",140,"Male","F2",27.76316,2.236842,1.000346,5,"Exact",29.47368,5.526316,2.471444,5,"Exact",NA,"Con-CHOW(Control), HF/HS-Chow(Treatment)",0.0597876996924393,0.00832951596626752
"95","Body_Weight","None","Thompson2019","Thompson2019fffm","Mouse","C57BL/6",2,"Female","f-f-f-m","One off","Standard",140,"Male","F3",27.94872,2.692308,1.204037,5,"Exact",26.28205,2.564103,1.146702,5,"Exact",NA,"Con-CHOW(Control), HF/HS-Chow(Treatment)",-0.0614852058256625,0.00375953416227243
"96","Body_Weight","None","Thompson2019","Thompson2019ffm","Mouse","C57BL/6",1,"Female","f-f-m","One off","Standard",35,"Male","F2",20.58295964,1.614349776,0.721959168,5,"Exact",20.85201794,1.076233184,0.481306112,5,"Exact",NA,"Con-CHOW(Control), HF/HS-Chow(Treatment)",0.0129871957211466,0.00176307439634209
"97","Body_Weight","None","Thompson2019","Thompson2019fffm","Mouse","C57BL/6",2,"Female","f-f-f-m","One off","Standard",35,"Male","F3",20.59602649,2.251655629,1.00697101,5,"Exact",19.93377483,1.721854305,0.770036655,5,"Exact",NA,"Con-CHOW(Control), HF/HS-Chow(Treatment)",-0.0326826476497342,0.0038826378400611
"98","Body_Weight","None","Winther2019","Winther2019ffm","Rat","SD",1,"Female","f-f-m","One off","Standard",196,"Male","F2",525.7,120.3,40.1,9,"Estimate",490.7,112.2,37.4,9,"Estimate","Table 2","CON-CON (Control) HFD-CON (Treatment)",-0.0688977647295447,0.0116276533858842
"99","Body_Weight","None","Winther2019","Winther2019fff","Rat","SD",2,"Female","f-f-f","One off","Standard",196,"Female","F2",295.9,48.9,16.3,9,"Estimate",289.5,45,15,9,"Estimate","Table 2","CON-CON (Control) HFD-CON (Treatment)",-0.0218662623931139,0.00571912280965992
"100","Body_Weight","None","Winther2019","Winther2019ffm","Rat","SD",1,"Female","f-f-m","One off","Standard",98,"Male","F2",426.1,137.1,45.7,9,"Estimate",398.2,89.7,29.9,9,"Estimate","Table 2","CON-CON (Control) HFD-CON (Treatment)",-0.0677196688757706,0.0171411446957067
"101","Body_Weight","None","Winther2019","Winther2019fff","Rat","SD",2,"Female","f-f-f","One off","Standard",98,"Female","F2",241,36.9,12.3,9,"Estimate",246.1,53.4,17.8,9,"Estimate","Table 2","CON-CON (Control) HFD-CON (Treatment)",0.0209410239063551,0.00783619666058989
"102","Body_Weight","None","Huang2017","Huang2017","Rat","SD",1,"Female","f-f-fm","Multigenerational","Standard",1,"Both","F2",5.8,0.489897949,0.2,6,"Exact",6.2,0.49,0.2,6,"Exact","Table 3","F2-SC(Control), F2-HF(Treatment)",0.0666913744986724,0.00223007694670769
"103","Body_Weight","None","Huang2017","Huang2017","Rat","SD",2,"Female","f-f-fm","Multigenerational","Standard",21,"Both","F2",43.9,12.98229564,5.3,6,"Exact",55.7,22.78,9.3,6,"Exact","Table 3","F2-SC(Control), F2-HF(Treatment)",0.238065826852113,0.0424524592282
"104","Body_Weight","None","Huang2017","Huang2017","Rat","SD",3,"Female","f-f-fm","Multigenerational","Standard",84,"Both","F2",328.8,117.3305587,47.9,6,"Exact",391.6,84.26,34.4,6,"Exact","Table 3","F2-SC(Control), F2-HF(Treatment)",0.174791247474331,0.0289392810923439
"105","Body_Weight","None","Hanafi2015","Hanafi2015fmm","Rat","Wistar",1,"Female","f-m-m","One off","Standard",210,"Male","F2",433.3333333,168.3587574,23.80952381,50,"Exact",441.35,251.57,35.58,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1M(Treatment)",0.0183309567616466,0.00951698489233569
"106","Body_Weight","None","Hanafi2015","Hanafi2015ffm","Rat","Wistar",1,"Female","f-f-m","One off","Standard",210,"Male","F2",433.3333333,168.3587574,23.80952381,50,"Exact",428.57,291.82,41.27,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1F(Treatment)",-0.0110531694485508,0.0122918802320634
"107","Body_Weight","None","Hanafi2015","Hanafi2015fmf","Rat","Wistar",2,"Female","f-m-f","One off","Standard",210,"Female","F2",257.1428571,235.7022604,33.33333333,50,"Exact",244.23,251.57,35.58,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1M(Treatment)",-0.0515213904082801,0.0380240508258219
"108","Body_Weight","None","Hanafi2015","Hanafi2015fff","Rat","Wistar",2,"Female","f-f-f","One off","Standard",210,"Female","F2",257.1428571,235.7022604,33.33333333,50,"Exact",265.08,246.93,34.92,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1F(Treatment)",0.0303998725577499,0.0341588075817738
"109","Body_Weight","None","Hanafi2015","Hanafi2015fmm","Rat","Wistar",1,"Female","f-m-m","One off","Standard",70,"Male","F2",261.6666667,129.6362432,18.33333333,50,"Exact",279.1,168.86,23.88,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1M(Treatment)",0.0644987113005893,0.0122298114397628
"110","Body_Weight","None","Hanafi2015","Hanafi2015ffm","Rat","Wistar",1,"Female","f-f-m","One off","Standard",70,"Male","F2",261.6666667,129.6362432,18.33333333,50,"Exact",254.1,197.06,27.87,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1F(Treatment)",-0.0293435389155689,0.0169375915857092
"111","Body_Weight","None","Hanafi2015","Hanafi2015fmf","Rat","Wistar",2,"Female","f-m-f","One off","Standard",70,"Female","F2",175,164.9915823,23.33333333,50,"Exact",164.68,175.9,24.88,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1M(Treatment)",-0.0607817770218101,0.0405959029412848
"112","Body_Weight","None","Hanafi2015","Hanafi2015fff","Rat","Wistar",2,"Female","f-f-f","One off","Standard",70,"Female","F2",175,164.9915823,23.33333333,50,"Exact",177.05,162.29,22.95,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1F(Treatment)",0.0116462046343988,0.0345821252894916
"113","Body_Weight","None","Hanafi2015","Hanafi2015fmm","Rat","Wistar",1,"Female","f-m-m","One off","Standard",105,"Male","F2",316.6666667,176.7766953,25,50,"Exact",327.86,147.75,20.9,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1M(Treatment)",0.0347369919665702,0.0102943894366311
"114","Body_Weight","None","Hanafi2015","Hanafi2015ffm","Rat","Wistar",1,"Female","f-f-m","One off","Standard",105,"Male","F2",316.6666667,176.7766953,25,50,"Exact",321.31,255.02,36.07,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1F(Treatment)",0.0145566931662801,0.0188315105486606
"115","Body_Weight","None","Hanafi2015","Hanafi2015fmf","Rat","Wistar",2,"Female","f-m-f","One off","Standard",105,"Female","F2",193.3333333,212.1320344,30,50,"Exact",186.57,232.18,32.84,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1M(Treatment)",-0.0356093109160339,0.0550523847553776
"116","Body_Weight","None","Hanafi2015","Hanafi2015fff","Rat","Wistar",2,"Female","f-f-f","One off","Standard",105,"Female","F2",193.3333333,212.1320344,30,50,"Exact",191.8,220.25,31.15,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1F(Treatment)",-0.0079626522506036,0.050451787081102
"117","Body_Weight","None","Hanafi2015","Hanafi2015fmm","Rat","Wistar",1,"Female","f-m-m","One off","Standard",35,"Male","F2",113.5133044,105.3228301,14.89489748,50,"Exact",111.67,166.58,23.56,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1M(Treatment)",-0.0163719559773614,0.0617223246247254
"118","Body_Weight","None","Hanafi2015","Hanafi2015ffm","Rat","Wistar",1,"Female","f-f-m","One off","Standard",35,"Male","F2",113.5133044,105.3228301,14.89489748,50,"Exact",134.37,63.19,8.94,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1F(Treatment)",0.168677139452256,0.0216410047149329
"119","Body_Weight","None","Hanafi2015","Hanafi2015fmf","Rat","Wistar",2,"Female","f-m-f","One off","Standard",35,"Female","F2",92.66044792,84.25826409,11.91591798,50,"Exact",101.6,168.52,23.83,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1M(Treatment)",0.0921018211507273,0.0715605154477656
"120","Body_Weight","None","Hanafi2015","Hanafi2015fff","Rat","Wistar",2,"Female","f-f-f","One off","Standard",35,"Female","F2",92.66044792,84.25826409,11.91591798,50,"Exact",99.89,104.11,14.72,50,"Exact","Fig 4","F2-CF1 (Control), F2-OF1F(Treatment)",0.0751278665504043,0.0382629156326257
"121","Body_Weight","None","Barbosa2016","Barbosa2016mfmfM","Rat","SD",1,"Male","m-fm-f","Multigenerational","HFD",154,"Female","F2",348.5,28.5229732,8.6,11,"Estimate",374.1,31.51,9.5,11,"Estimate","Supp Table T4","GpatCD-CD(Control), GpatHF-HF(Treatment)",0.0708849111535219,0.00125391755200226
"122","Body_Weight","None","Barbosa2016","Barbosa2016mmfO","Rat","SD",1,"Male","m-m-f","One off","Standard",154,"Female","F2",348.5,28.5229732,8.6,11,"Estimate",339,31.18,9.4,11,"Estimate","Supp Table T4","GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.0276381228201283,0.00137802345734693
"123","Body_Weight","None","Barbosa2016","Barbosa2016mfmmM","Rat","SD",2,"Male","m-fm-m","Multigenerational","HFD",154,"Male","F2",619.6,61.40651431,13.4,21,"Estimate",736.9,64.61,14.1,21,"Estimate","Supp Table T6","GpatCD-CD(Control), GpatHF-HF(Treatment)",0.17337808923024,0.000833790004329105
"124","Body_Weight","None","Barbosa2016","Barbosa2016mmmO","Rat","SD",2,"Male","m-m-m","One off","Standard",154,"Male","F2",619.6,61.40651431,13.4,21,"Estimate",619,59.57,13,21,"Estimate","Supp Table T6","GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.000968835858117544,0.000908737167545079
"125","Body_Weight","None","Barbosa2016","Barbosa2016mfmfM","Rat","SD",1,"Male","m-fm-f","Multigenerational","HFD",77,"Female","F2",269.0625,14.92481156,4.5,11,"Estimate",267.38,22.39,6.75,11,"Estimate","Fig2","GpatCD-CD(Control), GpatHF-HF(Treatment)",-0.00627282706707347,0.000917183820344996
"126","Body_Weight","None","Barbosa2016","Barbosa2016mmfO","Rat","SD",1,"Male","m-m-f","One off","Standard",77,"Female","F2",269.0625,14.92481156,4.5,11,"Estimate",263.44,16.79,5.06,11,"Estimate","Fig2","GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.0211180565539411,0.000648987942759625
"127","Body_Weight","None","Armitage2007","Armitage2007fff","Rat","SD",2,"Female","f-f-f","One off","Standard",180,"Female","F2",274.4,24.87006232,9.4,7,"Exact",284.7,20.09,8.2,6,"Exact","Table 2","Control Diet F2 (Control), Fat-rich diet F2 (Treatment)",0.0368490984322616,0.00200342702934977
"128","Body_Weight","None","Tait2015","Tait2015ffmF2","Rat","Wistar",1,"Female","f-f-m","Multigenerational","HFD",0,"Male","F2",6.29572,1.254633025,0.22178988,32,"Estimate",6.14,0.371712469,0.08,24,"Estimate","Fig 2","R(Control) HF(Treatment) - F2",-0.0250452952860448,0.00139376918901471
"129","Body_Weight","None","Tait2015","Tait2015ffmF3","Rat","Wistar",2,"Female","f-f-m","Multigenerational","HFD",0,"Male","F3",5.828794,0.31517508,0.05252918,36,"Estimate",5.69,0.406051188,0.06,40,"Estimate","Fig 2","R(Control) HF(Treatment) - F3",-0.0240998697619957,0.000208530676610266
"130","Body_Weight","None","Tait2015","Tait2015fffF2","Rat","Wistar",3,"Female","f-f-f","Multigenerational","HFD",0,"Female","F2",5.941634,1.023516418,0.18093385,32,"Estimate",6.01,0.486085514,0.1,24,"Estimate","Fig 2","R(Control) HF(Treatment) - F2",0.011440568826193,0.00119987813532568
"131","Body_Weight","None","Tait2015","Tait2015fffF3","Rat","Wistar",4,"Female","f-f-f","Multigenerational","HFD",0,"Female","F3",5.626459,0.52529184,0.08754864,36,"Estimate",5.5,0.664447473,0.11,40,"Estimate","Fig 2","R(Control) HF(Treatment) - F3",-0.0227321999972361,0.000606986923741769
"132","Body_Weight","None","Tait2015","Tait2015ffmF2","Rat","Wistar",5,"Female","f-f-m","Multigenerational","HFD",21,"Male","F2",50.212766,8.844514764,2.55319149,12,"Exact",53.4,13.23944611,4.68,8,"Exact","Fig 2","R(Control) HF(Treatment) - F2",0.0615414488090944,0.0102691061125521
"133","Body_Weight","None","Tait2015","Tait2015ffmF3","Rat","Wistar",6,"Female","f-f-m","Multigenerational","HFD",21,"Male","F3",53.404255,6.98572559,1.4893617,22,"Exact",62.13,6.728250327,2.13,10,"Exact","Fig 2","R(Control) HF(Treatment) - F3",0.151338539635927,0.00195050499855
"134","Body_Weight","None","Tait2015","Tait2015fffF2","Rat","Wistar",7,"Female","f-f-f","Multigenerational","HFD",21,"Female","F2",49.574468,6.660628009,1.4893617,20,"Exact",54.04,16.21494372,4.68,12,"Exact","Fig 2","R(Control) HF(Treatment) - F2",0.0862485699590486,0.00840530084635109
"135","Body_Weight","None","Tait2015","Tait2015fffF3","Rat","Wistar",8,"Female","f-f-f","Multigenerational","HFD",21,"Female","F3",51.489362,8.338688488,1.70212766,24,"Exact",60,13.01877323,2.55,26,"Exact","Fig 2","R(Control) HF(Treatment) - F3",0.152969338996303,0.0029035956234346
"136","Body_Weight","None","Tait2015","Tait2015ffmF2","Rat","Wistar",9,"Female","f-f-m","Multigenerational","HFD",112,"Male","F2",462.5,59.53924651,17.1875,12,"Exact",574.22,86.17863896,30.47,8,"Exact","Fig 2","R(Control) HF(Treatment) - F2",0.21636604119721,0.00419650758321275
"137","Body_Weight","None","Tait2015","Tait2015ffmF3","Rat","Wistar",10,"Female","f-f-m","Multigenerational","HFD",112,"Male","F3",493.75,36.64387312,7.8125,22,"Exact",596.09,46.94005902,14.84,10,"Exact","Fig 2","R(Control) HF(Treatment) - F3",0.188362346161062,0.000870463173383169
"138","Body_Weight","None","Tait2015","Tait2015fffF2","Rat","Wistar",11,"Female","f-f-f","Multigenerational","HFD",112,"Female","F2",457.8125,45.42013079,10.15625,20,"Exact",601.56,92.01519915,26.56,12,"Exact","Fig 2","R(Control) HF(Treatment) - F2",0.273066569417926,0.0024418979603153
"139","Body_Weight","None","Tait2015","Tait2015fffF3","Rat","Wistar",12,"Female","f-f-f","Multigenerational","HFD",112,"Female","F3",483.59375,61.23724357,12.5,24,"Exact",582.81,91.62300688,17.97,26,"Exact","Fig 2","R(Control) HF(Treatment) - F3",0.186616037965729,0.00161869128585694
"140","Body_Weight","None","Nasu2007","Nasu2007","Rat","Wistar",1,"Female","f-f-fm","Multigenerational","HFD",0,"Both","F2",5.4,0.4,0.06172134,42,"Exact",5,0.4,0.05,64,"Exact","Table 3","C-N F3(Control) C-F F3(Treatment)",-0.0769610411361284,0.000230642105950748
"141","Body_Weight","None","Adedeji2019","Adedeji2019","Rat","Wistar",1,"Female","f-fm-m","Multigenerational","HFD",84,"Male","F2",205.5,3.794733192,1.2,10,"Exact",320.7,7.27,2.3,10,"Exact","Table 1","Control(Control), HFD(Treatment)",0.44506007276282,8.54878668952327e-05
"142","Body_Weight","None","deAssis2012","deAssis2012mF2","Rat","SD",1,"Female","f-fm-fm-m","One off","Standard",2,"Male","F2",8.969697,2.412091,0.7272727,12,"Exact",9.94,4.73,1.58,5,"Exact","Supp Figure S2","Con F2(Control), HF F2(Treatment)",0.102715124432524,0.0513139188410416
"143","Body_Weight","None","deAssis2012","deAssis2012mF3","Rat","SD",2,"Female","f-fm-fm-m","One off","Standard",2,"Male","F3",8.363636,3.449757,1.0909091,8,"Exact",9.58,3.45,1.09,10,"Exact","Supp Figure S2","Con F3(Control), HF F3(Treatment)",0.135784331210361,0.0342355573333387
"144","Body_Weight","None","deAssis2012","deAssis2012fF2","Rat","SD",3,"Female","f-fm-fm-f","One off","Standard",2,"Female","F2",8.848485,1.206045,0.3636364,12,"Exact",9.21,4.73,1.58,5,"Exact","Supp Figure S2","Con F2(Control), HF F2(Treatment)",0.0400435923421265,0.0542994136038529
"145","Body_Weight","None","deAssis2012","deAssis2012fF3","Rat","SD",4,"Female","f-fm-fm-f","One off","Standard",2,"Female","F3",7.757576,2.299838,0.7272727,8,"Exact",8.85,2.68,0.85,10,"Exact","Supp Figure S2","Con F3(Control), HF F3(Treatment)",0.131747544756756,0.0201566140964792
"146","Body_Weight","None","Armitage2007","Armitage2007ffm","Rat","SD",1,"Female","f-f-m","One off","Standard",180,"Male","F2",469.7,39.1571194,14.8,7,"Exact",500.1,64.91,26.5,6,"Exact","Table 2","Control Diet F2 (Control), Fat-rich diet F2 (Treatment)",0.0627138853919087,0.00380059581472628
"147","Glucose","GTT","Barbosa2016","Barbosa2016mfmfM","Rat","SD",1,"Male","m-fm-f","Multigenerational","HFD",84,"Female","F2",1294.93671237342,318.427402034781,142.405063369685,5,"Exact",2294.8093220339,503.115294937454,225,5,"Exact","Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-HF(Treatment)",0.572187932776576,0.0217068343627617
"148","Glucose","GTT","Barbosa2016","Barbosa2016mmfO","Rat","SD",1,"Male","m-m-f","One off","Standard",84,"Female","F2",1294.93671237342,318.427402034781,142.405063369685,5,"Exact",1568.35443037975,367.252936810884,164.240506329114,5,"Exact","Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-CD(Treatment)",0.191565112964905,0.0230601521531467
"149","Glucose","GTT","Dunn2009","Dunn2009ffm","Mouse","C57BL/6",1,"Female","f-f-m","Multigenerational","HFD",126,"Male","F2",27220.5882352941,3063.02521008403,1531.51260504202,4,"Exact",27277.3109243698,7203.55819146998,2722.68907563025,7,"Exact","Fig3","2Ch(Control) 2HF(M) (Treatment)",0.00208164756561677,0.0131285934427151
"150","Glucose","GTT","Dunn2009","Dunn2009fff","Mouse","C57BL/6",2,"Female","f-f-f","Multigenerational","HFD",126,"Female","F2",17621.2871287129,2075.55814743173,928.217821782178,5,"Exact",18623.7623762376,2455.55283620592,1002.47524752476,6,"Exact","Fig3","2Ch(Control) 2HF(M) (Treatment)",0.0553306453170462,0.00567218120421473
"151","Glucose","GTT","Dunn2009","Dunn2009fmm","Mouse","C57BL/6",1,"Female","f-m-m","Multigenerational","HFD",126,"Male","F2",27220.5882352941,3063.02521008403,1531.51260504202,4,"Exact",24781.5127411765,2268.90756201681,1134.45378100841,4,"Exact","Fig3","2Ch(Control) 2HF(P) (Treatment)",-0.0938756862002555,0.00526117416119645
"152","Glucose","GTT","Dunn2009","Dunn2009fmf","Mouse","C57BL/6",2,"Female","f-m-f","Multigenerational","HFD",126,"Female","F2",17621.2871287129,2075.55814743173,928.217821782178,5,"Exact",19310.6435643564,3118.81188118812,1559.40594059406,4,"Exact","Fig3","2Ch(Control) 2HF(P) (Treatment)",0.0915487567773634,0.00929591466470248
"153","Glucose","GTT","Dunn2009","Dunn2009ffmm","Mouse","C57BL/6",1,"Female","f-fm-m","Multigenerational","HFD",126,"Male","F2",27220.5882352941,3063.02521008403,1531.51260504202,4,"Exact",25518.9075630252,2663.55156143357,1191.17647058823,5,"Exact","Fig3","2Ch(Control) 2HF(MP) (Treatment)",-0.0645539569285397,0.00534438147457171
"154","Glucose","GTT","Dunn2009","Dunn2009ffmf","Mouse","C57BL/6",2,"Female","f-fm-f","Multigenerational","HFD",126,"Female","F2",17621.2871287129,2075.55814743173,928.217821782178,5,"Exact",20554.4554455446,2864.81164224022,1169.55445544554,6,"Exact","Fig3","2Ch(Control) 2HF(MP) (Treatment)",0.153970060301796,0.0060123972956346
"155","Glucose","GTT","Dunn2011","Dunn2011fmfm","Mouse","C57BL/6",1,"Female","f-m-f-m","One off","Standard",140,"Male","F3",24363.7640449438,4773.62826657259,2134.83146067416,5,"Estimate",19061.797752809,3062.03128941334,1369.38202247191,5,"Estimate","Fig4","Male chow (Control) 3hf(maternal)male (treatment)",-0.245410733857288,0.0128386821913462
"156","Glucose","GTT","Dunn2011","Dunn2011fmmm","Mouse","C57BL/6",1,"Female","f-m-m-m","One off","Standard",140,"Male","F3",24363.7640449438,4773.62826657259,2134.83146067416,5,"Estimate",19125,2622.3550017027,1172.75280898876,5,"Estimate","Fig4","Male chow (Control) 3hf(paternal)male (treatment)",-0.242100568636834,0.0114380211857308
"157","Glucose","GTT","Dunn2011","Dunn2011fmff","Mouse","C57BL/6",2,"Female","f-m-f-f","One off","Standard",140,"Female","F3",19806.6298342542,2890.82821400525,1292.81767955801,5,"Estimate",17129.8342541437,3724.72096804523,1665.74585635359,5,"Estimate","Fig4","Female chow (Control) 3hf(maternal)female (treatment)",-0.145195085243787,0.0137165101332006
"158","Glucose","GTT","Dunn2011","Dunn2011fmmf","Mouse","C57BL/6",2,"Female","f-m-m-f","One off","Standard",140,"Female","F3",19806.6298342542,2890.82821400525,1292.81767955801,5,"Estimate",18248.6187845304,2538.74016229948,1135.3591160221,5,"Estimate","Fig4","Female chow (Control) 3hf(paternal)female (treatment)",-0.0819273276429317,0.00813128106553068
"159","Glucose","GTT","Graus-Nunes2015","Graus-Nunes2015","Mouse","C57BL/6",1,"Female","f-f-m","One off","Standard",90,"Male","F2",15825.8426966292,1221.04386187067,546.067415730337,5,"Exact",17548.3146067416,1522.53617344368,680.898876404495,5,"Exact","Fig 3","F2SC (Control) F2HF (Treatment)",0.103313693912147,0.0026961280181261
"160","Glucose","GTT","King2013","King2013fmm","Mouse","C57BL/6",1,"Female","f-m-m","One off","Standard",180,"Male","F2",1734.23076923077,233.653846153846,77.8846153846153,9,"Estimate",1848.46153846154,332.307692307692,110.769230769231,9,"Estimate","Fig5","mCON/pCON (Control) m/CON/pDIO (Treatment)",0.0637897378753288,0.00560794108228048
"161","Glucose","GTT","King2013","King2013fmf","Mouse","C57BL/6",2,"Female","f-m-f","One off","Standard",180,"Female","F2",1582.45033112583,353.145695364239,117.71523178808,9,"Estimate",1369.37086092715,290.562913907285,96.8543046357616,9,"Estimate","Fig5","mCON/pCON (Control) m/CON/pDIO (Treatment)",-0.144623079446198,0.0105361656823178
"162","Glucose","GTT","King2013","King2013ffm","Mouse","C57BL/6",3,"Female","f-f-m","One off","Standard",180,"Male","F2",1734.23076923077,233.653846153846,77.8846153846153,9,"Estimate",1734.73282442748,422.519083969465,140.839694656488,9,"Estimate","Fig5","mCON/pCON (Control) mDIO/pCON (Treatment)",0.000289455444923755,0.00860843487157373
"163","Glucose","GTT","King2013","King2013fff","Mouse","C57BL/6",4,"Female","f-f-f","One off","Standard",180,"Female","F2",1582.45033112583,353.145695364239,117.71523178808,9,"Estimate",1411.09271523179,299.503311258278,99.8344370860927,9,"Estimate","Fig5","mCON/pCON (Control) mDIO/pCON (Treatment)",-0.114610108615806,0.0105390918442057
"164","Glucose","GTT","King2013","King2013ffmm","Mouse","C57BL/6",5,"Female","f-fm-m","One off","Standard",180,"Male","F2",1734.23076923077,233.653846153846,77.8846153846153,9,"Estimate",1870.41984732824,453.435114503815,151.145038167938,9,"Estimate","Fig5","mCON/pCON (Control) mDIO/pDIO (Treatment)",0.0755989685425806,0.00854687015924687
"165","Glucose","GTT","King2013","King2013ffmf","Mouse","C57BL/6",6,"Female","f-fm-f","One off","Standard",180,"Female","F2",1582.45033112583,353.145695364239,117.71523178808,9,"Estimate",1490.625,284.21052631579,94.7368421052632,9,"Estimate","Fig5","mCON/pCON (Control) mDIO/pDIO (Treatment)",-0.0597789931146749,0.00957281923999143
"166","Glucose","GTT","Lannes2015","Lannes2015","Mouse","C57BL/6",1,"Female","f-f-m","One off","Standard",90,"Male","F2",778.695652173913,73.0434782608696,32.6660365408665,5,"Exact",719.347826086956,87.391304347826,39.0825794328224,5,"Exact","Fig1","SC-F2 (Control) HF-F2 (Treatment)",-0.0792752746990449,0.00471158712833715
"167","Glucose","GTT","Li2012","Li2012a","Mouse","C57BL/6",1,"Female","f-f-fm","Multigenerational","HFD",90,"Male","F2",1262.0253164557,275.949367088608,123.408308631634,5,"Estimate",2431.64556962025,412.658227848102,184.54636978859,5,"Estimate","Fig1","NCF2 (Control) HFF2(Treatment)",0.655850392806718,0.0153219270774374
"168","Glucose","GTT","Masuyama2015","Masuyama2015a","Mouse","ICR",1,"Female","f-f-f","Multigenerational","Standard",168,"Female","F2",17194.7368421053,4867.97437495673,1405.26315789473,12,"Exact",28342.1052631579,5852.50851820642,1689.47368421053,12,"Exact","Fig3","D (Control throughout) A (Treatment)",0.499745177989418,0.010232552433172
"169","Glucose","GTT","Masuyama2015","Masuyama2015b","Mouse","ICR",1,"Female","f-f-f","One off","Standard",168,"Female","F2",17194.7368421053,4867.97437495673,1405.26315789473,12,"Exact",20368.4210526316,4977.36705754004,1436.84210526316,12,"Exact","Fig3","D (Control) and B (Treatment)",0.169382374422757,0.0116554604579863
